Tên sản phẩm,Slug,Tiêu đề phụ,Mã sản phẩm,Giá sản phẩm,Bề mặt,Độ dày,Kích thước,Hoàn thiện,Màu sắc,Ứng dụng,Bộ sưu tập,Tải catalogue,Mô tả,Ảnh 1,Ảnh 2,Ảnh 3,Ảnh 4,Ảnh 5,Ảnh 6,Ảnh 7,URL
Corchia,corchia,,ST65,,Đá hoa,9mm,1200x2400,Bóng kính,Màu Be,,,https://drive.google.com/uc?id=1QonkfbgSmO_I78ziRXBq_HkkspkUDRHP,Công nghệ xuyên sáng cùng khổ lớn vượt giới hạn giúp các sản phẩm trong BST Luce Tech đạt được vẻ đẹp chân thực của tự nhiên.,https://slabstone.vn/wp-content/uploads/2024/02/ST65D122-F1-Polished-1200x2400x9mm.png,https://slabstone.vn/wp-content/uploads/2024/02/ST65.png,https://slabstone.vn/wp-content/uploads/2024/02/65_ST65_.png,https://slabstone.vn/wp-content/uploads/2024/02/ST65D122-F1-Polished-1200x2400x9mm.png,https://slabstone.vn/wp-content/uploads/2024/02/ST65D122-F2-Polished-1200x2400x9mm.png,https://slabstone.vn/wp-content/uploads/2024/02/ST65D122-F1-Polished-1200x2400x9mm.png,,https://slabstone.vn/san-pham/corchia/
Venato,venato,,ST64,,Đá hoa,9mm,1200x2400,Bóng kính,Bóng kính,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,Công nghệ xuyên sáng cùng khổ lớn vượt giới hạn giúp các sản phẩm trong BST Luce Tech đạt được vẻ đẹp chân thực của tự nhiên.,https://slabstone.vn/wp-content/uploads/2024/02/ST64D122-F1-Polished-1200x2400x9mm.png,https://slabstone.vn/wp-content/uploads/2024/02/ST64.png,https://slabstone.vn/wp-content/uploads/2024/02/64_ST64_Venato.png,https://slabstone.vn/wp-content/uploads/2024/02/ST64D122-F1-Polished-1200x2400x9mm.png,https://slabstone.vn/wp-content/uploads/2024/02/ST64D122F2-Polished-1200x2400x9mm.png,https://slabstone.vn/wp-content/uploads/2024/02/ST64D122-F1-Polished-1200x2400x9mm.png,,https://slabstone.vn/san-pham/venato/
Wavy,wavy,,ST66,,Đá hoa,9mm,1200x2400,Bóng kính,Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,Công nghệ xuyên sáng cùng khổ lớn vượt giới hạn giúp các sản phẩm trong BST Luce Tech đạt được vẻ đẹp chân thực của tự nhiên.,https://slabstone.vn/wp-content/uploads/2024/02/TE66D122-F1-copy-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/ST66.png,https://slabstone.vn/wp-content/uploads/2024/02/ST66_Wavy.png,https://slabstone.vn/wp-content/uploads/2024/02/TE66D122-F1-copy-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/TE66D122-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/TE66D122-F1-copy-2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,https://slabstone.vn/san-pham/wavy/
Honey Onyx,honey-onyx,,ST61,,Đá hoa,9mm,1200x2400,Bóng kính,Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Công nghệ xuyên sáng cùng khổ lớn vượt giới hạn giúp các sản phẩm trong BST Luce Tech đạt được vẻ đẹp chân thực của tự nhiên.
Những đường vân tròn mềm mại của Honey Onyx đem lại sự thư thái, nhẹ nhàng nhưng vẫn không kém phần tinh tế, sang trọng cho không gian.",https://slabstone.vn/wp-content/uploads/2024/02/TE61D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/sm61.png,https://slabstone.vn/wp-content/uploads/2024/02/61_ST61_Honey-Onyx-1.png,https://slabstone.vn/wp-content/uploads/2024/02/TE61D122-F2-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/TE61D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,https://slabstone.vn/san-pham/honey-onyx/
Arabescato Antique,arabescato-antique,,ST62,,Đá hoa,9mm,1200x2400,Bóng kính,Trắng,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Công nghệ xuyên sáng cùng khổ lớn vượt giới hạn giúp các sản phẩm trong BST Luce Tech đạt được vẻ đẹp chân thực của tự nhiên.
Những đường vân cá tính, mạnh mẽ của Arabescato Antique mang đến sự ấn tượng nhưng vẫn không kém phần tinh tế, sang trọng cho không gian.",https://slabstone.vn/wp-content/uploads/2024/02/ST62D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/62_ST62_Arabescato-Antique.png,https://slabstone.vn/wp-content/uploads/2024/02/ST62D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/ST62D122-F2__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2024/02/ST62D122-F1__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,https://slabstone.vn/san-pham/arabescato-antique/
Alpinus,alpinus,,SP25,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Màu Be,,,https://drive.google.com/uc?id=1tuT2pTEdj7GsRGCitbG4klqCr8DgwD4n,"Alpinus độc đáo với hoa văn giống như pha lê. Với sự bùng nổ của màu trắng, xám và be vàng, vật liệu này sẽ tạo thêm cảm giác sang trọng nhưng sắc sảo cho không gian của bạn.",https://slabstone.vn/wp-content/uploads/2023/09/SP25H122-Random-face-copy__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/sp25.png,https://slabstone.vn/wp-content/uploads/2023/09/SP25H122_ve_sinh__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/09/SP25H122-Random-face__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/alpinus/
Kanjini,kanjini,,SP07,"1,800,000 / m²",Đá,9mm,1200x2400,Bóng kính,Xám trắng,,,,Tone màu xám với hoàn thiện bóng giúp tăng diện tích không gian của bạn nhưng vẫn giữ được sự mộc mạc tối giản,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Kanjini-SP07D122-v2_Polished_120x240cm_9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/180223_Kanjini.png,https://slabstone.vn/wp-content/uploads/2023/02/SP07D122_Op-Lat__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Kanjini-SP07D122-v3_Polished_120x240cm_9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,,,,https://slabstone.vn/san-pham/kanjini/
Panda White,panda-white,,SP09,"1,800,000 / m²",Đá hoa,"9mm, 15mm",1200x2400,Bóng kính,"Trắng, Đen",,,,,https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Panda-White-SP09D12-v2_Polished_120x240cm_916mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/180223_Panda-1.png,,,,,,https://slabstone.vn/san-pham/panda-white/
Nebula,nebula,,SP11,"1,800,000 / m²",Đá hoa,9mm,1200x2400,Bóng kính,Xám,,,,"Cảm hứng từ những tinh vân vũ trụ đã được bao trọn trong thiết kế độc đáo của NEBULA. Phải mất nhiều năm để hình thành nên những tinh vân tuyệt đẹp trong thiên hà, nhưng chỉ mất vài giờ đồng hồ để tái hiện lại vẻ đẹp đó với SLABSTONE.
NEBULA phù hợp cho mọi ứng dụng và thiết kế, nâng tầm đẳng cấp cho không gian sống của bạn!",https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Nebula-SP11D122-v1_Polished_120x240cm_9mm__Q-100__LimitedFileSize-300kb__resized-800-px.jpg,https://slabstone.vn/wp-content/uploads/2023/02/180223_nebula.png,,,,,,https://slabstone.vn/san-pham/nebula/
Ofanto,ofanto,,SP12,"1,800,000 / m²",Đá,"9mm, 15mm",1200x2400,Bóng kính,Xám trắng,,,,"Mạnh mẽ và táo bạo, thiết kế Ofanto phù hợp làm điểm nhấn cho khu vực bếp, mặt bàn và cả ốp lát trang trí",https://slabstone.vn/wp-content/uploads/2023/02/Slabstone_Ofanto-SP12D122-v2_Polished_120x240cm_916mm-1-scaled.jpg,https://slabstone.vn/wp-content/uploads/2023/02/180223_ofanto.png,,,,,,https://slabstone.vn/san-pham/ofanto/
